Formula,band_gap,MP ID,density,vpa,packing fraction
K2B5H5O11,4.892,mp-707775,2.099276612,10.77434257,0.453357611
KBe2B3O7,4.91,mp-1019809,2.21797483,11.60740369,0.452967577
Cs3Li4(BO2)7,4.93,mp-1019615,3.110217999,13.84605183,0.780575066
NaBe(BO2)3,4.931,mp-1020624,2.151033623,11.25896463,0.342547784
Al5BO9,4.938,mp-3281,2.943856765,10.89455725,0.315886193
YBe2B5O11,4.94,mp-1020740,2.950314875,9.982273558,0.300226355
Na3NbOF6,4.96,mp-561259,3.35166706,13.14553645,0.623118492
Na2B5H5O11,4.962,mp-720593,2.079511828,9.758222387,0.320799998
Cs2Ba3(P2O7)2,4.966,mp-1019605,4.001065992,18.50788622,0.708407112
NaSb3F10,4.968,mp-27573,4.418571171,15.52235828,0.312798401
(C(NH2)3)2PO3F,5.01,mp-698449,1.432882554,10.11133289,0.07115862
CsLi(B3O5)2,5.025,mp-1200805,2.349951484,14.31730057,0.430227977
CsLa(PO3)4,5.044,mp-559234,3.20608815,16.91047922,0.434622145
NaCaBe2B2O6F,5.045,mp-1193627,2.654742935,10.47513256,0.511491951
Ba3P3O10Br,5.053,mp-1194785,4.128138005,17.62324193,0.510268962
CsLiB6O10,5.077,mp-5990,2.324289357,14.47537573,0.425529767
KLiB4O7,5.082,mp-6648,2.136267104,12.03507703,0.472947678
Ba3B6H2O13,5.089,mp-1199009,3.968814693,11.97407981,0.529675256
Cs2Li3B3P6(PbO12)2,5.095,mp-1196318,3.981573066,13.58867684,0.531650927
Li2SiO3,5.11,mp-5012,2.572720375,9.677924385,0.582592499
Mg5B3O9F,5.118,mp-560026,3.012214461,9.706950924,0.498324257
K2SrB8(HO)28,5.119,mp-1198667,1.893570696,9.535168233,0.26682171
RbNa2B6ClO10,5.128,mp-1194580,2.469802845,13.16974244,0.500734418
Na5B(SO4)4,5.132,mp-1020599,2.441130494,13.34331243,0.449516979
Ba3P3O10Cl,5.146,mp-1194911,3.919151912,17.45511718,0.507831026
SrB4O7,5.175,mp-5540,3.999762977,8.402126742,0.497230613
Na3B6ClO10,5.185,mp-1195615,2.263433143,12.07868979,0.422058588
Rb2GaB5(H4O7)2,5.194,mp-1201112,2.439276801,11.95327017,0.401504262
K2B4H8O11,5.201,mp-721901,1.894339359,10.71171465,0.410654717
Sr4B14O25,5.206,mp-559330,3.220493025,10.81378324,0.4143612
RbB3O5,5.211,mp-29756,2.882928201,12.66524886,0.58430059
K3B6BrO10,5.212,mp-23612,2.567889124,13.64633086,0.60331152
Ba2B6H4O13,5.237,mp-1199077,3.534553541,10.36465038,0.42729122
Ba2B5ClO9,5.241,mp-555742,3.611894341,13.74240392,0.464228815
K5B(SO4)4,5.251,mp-1019797,2.325041001,16.22198293,0.608896563
Ba3B6O11F2,5.266,mp-1195844,4.174679975,12.49047479,0.550687674
LiCsP2O6,5.284,mp-560667,3.088936495,16.00850499,0.625907789
CsB3O5,5.304,mp-3977,3.32366776,13.61912775,0.700513066
BaNa(PO3)3,5.305,mp-13755,3.17475529,14.8407466,0.417615547
Na5B(SO4)4,5.311,mp-1020599,2.441130494,13.34331243,0.449516979
CaBPO5,5.323,mp-6667,3.050019065,11.01527779,0.405279712
Sr2B5ClO9,5.336,mp-557330,3.127676194,12.76521973,0.424935178
Ca2B5BrO9,5.35,mp-554056,2.860685282,12.22773612,0.366735614
K3B6ClO10,5.372,mp-1189091,2.307668276,13.58584933,0.597967533
SrBPO5,5.387,mp-6486,3.624301794,11.99264804,0.466905285
KSi2BO6,5.397,mp-1019889,2.634160308,12.73864213,0.500476502
KBa2(PO3)5,5.403,mp-560320,3.282186828,15.58714348,0.452930146
MgB2H6O7,5.412,mp-706910,2.238424786,7.602425462,0.213814974
Sr3B6O11F2,5.417,mp-1202821,3.592311633,11.38214832,0.507035504
Na2B4O7,5.426,mp-1020142,2.679632989,9.591800704,0.525138123
CsB9O14,5.451,mp-680683,2.492079504,12.61012284,0.361617695
Ca(BO2)2,5.456,mp-556826,2.963991416,10.06007229,0.471354477
BaBPO5,5.495,mp-15840,4.038550523,13.31728486,0.496674931
BaNa(B3O5)3,5.5,mp-17864,2.545377627,12.48561119,0.316618121
